MOVIE_NAME,GENRE,RATINGS,VOTING_COUNTS,DURATION
Kuch Sapney Apne,ROMANCE,8.0,50.0,120
Koi wo Shiranai Bokutachi wa,ROMANCE,4.9,9.0,111
A Christmas of Wonders,ROMANCE,4.8,128.0,86
Youth in Trouble,ROMANCE,7.8,27.0,106
More na dvoikh,ROMANCE,5.0,26.0,82
A Christmas Dream,ROMANCE,4.8,52.0,94
Your 1/2 of the Rent,ROMANCE,7.2,20.0,105
Last Defenders of Monogamy,ROMANCE,5.3,393.0,84
Table for Six 2,ROMANCE,5.4,330.0,133
Lyubov Sovetskogo Soyuza,ROMANCE,5.1,287.0,150
Keluar Main 1994,ROMANCE,7.8,54.0,112
Hong lou meng,ROMANCE,5.0,28.0,120
Traces of Love,ROMANCE,6.5,914.0,105
B4S: Truoc Gio Yeu,ROMANCE,5.7,63.0,97
